ADT_Carlota,ADT_Guanandi,ADT_Planalto,OVT_Carlota,OVT_Guanandi,OVT_Planalto,month,mean_prec,mean_t_min,mean_t_med,mean_t_max
0.106870229,0.0478723404,0.1158798283,41.4385964912,24.3813559322,28.5172413793,2009_12,74.07499999999999,18.785000000000004,22.264034722225,26.667499999999997
0.0594059406,0.1061452514,0.0765957447,,,24.2076923077,2010_01,44.25,18.545,21.515932291650003,25.575
0.0333333333,0.0387596899,0.0762711864,17.2321428571,26.3162393162,33.1694915254,2010_02,56.825,17.807499999999997,21.61761356705,25.035
0.0358744395,0.0437956204,0.050209205,22.1621621622,17.1083333333,30.9745762712,2010_03,29.35,17.8225,21.9946545139,26.145000000000003
0.0128205128,0.0965517241,0.0462184874,16.8474576271,19.7631578947,18.6388888889,2010_04,15.5,15.27,20.112675347225,26.4125
0.0378151261,0.0253164557,0.0084033613,8.5729166667,7.6355932203,3.8534482759,2010_05,7.4,11.4875,16.99557291665,23.387500000000003
0.0125,0.0216450216,0.0211864407,4.2833333333,5.2393162393,4.9243697479,2010_06,9.5,8.86,14.6279704861,20.925000000000004
0.0,0.0085470085,0.0084033613,6.1379310345,6.3025210084,11.3305084746,2010_07,0.0,11.0325,17.369467361125,24.415
0.0041666667,0.0,0.0,4.0172413793,1.1949152542,3.7876106195,2010_08,2.425,8.2525,12.62690399305,17.634999999999998
0.0292887029,0.0134529148,0.0084388186,20.1680672269,3.9152542373,6.9237288136,2010_09,5.025,14.8125,21.784699652775,30.2675
0.0336134454,0.0168067227,0.0756302521,8.6434782609,9.25,17.0948275862,2010_10,50.8,13.0425,19.2101388889,24.475
0.0376569038,0.0416666667,0.0630252101,26.796460177,41.6016949153,45.9743589744,2010_11,16.349999999999998,13.607500000000002,19.5051875,23.675
0.04,0.0842105263,0.1363636364,24.9333333333,51.3103448276,34.1965811966,2010_12,13.8,16.9475,21.220934027775,25.515000000000004
,0.1546391753,0.0857142857,20.7226890756,,21.1176470588,2011_01,25.35,16.9475,21.220934027775,25.515000000000004
0.0649350649,0.0375,0.1666666667,8.1512605042,41.26891,31.16327,2011_02,101.66666666666669,19.1,21.800505208325,26.625
0.0612244898,0.0618556701,0.1,15.7966101695,43.2457627119,24.1083333333,2011_03,126.73333333333332,18.680000000000003,20.9493454861,24.4875
0.0206185567,0.0721649485,0.1020408163,17.0583333333,26.4369747899,21.8416666667,2011_04,60.25,17.05,21.745991319450003,27.61
0.0208333333,0.0707070707,0.0638297872,12.2118644068,12.6271186441,11.9914529915,2011_05,101.66666666666669,12.4375,17.081934027775002,23.195
0.0,0.01,0.0344827586,5.1680672269,6.5210084034,8.7058823529,2011_06,53.666666666666664,10.7925,16.664553819425,23.32
0.0,0.0,0.0306122449,11.4666666667,8.1596638655,7.3559322034,2011_07,0.0,8.1875,14.4416152778,21.81
0.01,0.0519480519,0.0303030303,6.7833333333,8.0666666667,9.3389830508,2011_08,4.65,10.0925,14.53413090275,20.7975
0.0,0.0208333333,0.03,8.0169491525,9.5217391304,7.3474576271,2011_09,12.85,13.33,19.573223958325,26.685
0.02,0.032967033,0.0833333333,18.0508474576,38.3916666667,19.0083333333,2011_10,47.2,15.7925,21.381890624999997,26.7125
0.02,0.0531914894,0.0309278351,17.5084745763,24.6016949153,30.8416666667,2011_11,40.8,15.22,20.706642361125,26.619999999999997
0.0,0.0729166667,0.1368421053,26.0084033613,20.125,38.1680672269,2011_12,42.95,16.385,22.0278420139,28.45
0.04,0.0816326531,0.0243902439,25.8403361345,28.65,19.8833333333,2012_01,37.849999999999994,17.82,22.1687534722,27.0325
