ADT_Areia,ADT_Emaus,ADT_Liberdade,OVT_Areia,OVT_Emaus,OVT_Liberdade,month,mean_prec,mean_t_min,mean_t_med,mean_t_max
0.0427350427,0.0126582278,0.0390243902,4.6548672566,4.6173913043,1.038961039,2009_12,0.0,23.51279761905,25.678571428575,28.719940476175
0.017167382,0.0,0.0,15.0956521739,12.811965812,17.025,2010_01,21.15,24.186309523825,26.06726190475,28.677976190475
0.0170212766,0.0421940928,0.0083333333,24.0423728814,21.8403361345,26.9401709402,2010_02,20.675,24.2476190476,26.334523809525,29.20595238095
0.0083333333,0.0420168067,0.0214592275,28.4871794872,10.974789916,32.9829059829,2010_03,14.725,25.206190476175,27.26273809525,30.158214285725
0.025,0.017167382,0.0296610169,21.9739130435,3.5333333333,21.3833333333,2010_04,20.775,25.283928571425,27.10476190475,29.754166666675
0.0210084034,0.0223214286,0.025751073,39.6379310345,14.7610619469,58.8559322034,2010_05,38.125,24.82125,26.90875,29.731250000000003
0.0084745763,0.025,0.0041841004,23.1764705882,16.0,33.4705882353,2010_06,5.15,24.50595238095,26.778571428575,29.852976190475
0.025210084,0.0291666667,0.0208333333,6.0672268908,6.974137931,15.3389830508,2010_07,14.725,23.051428571425,25.347857142849996,28.252857142875
0.0173160173,0.0344827586,0.0466101695,21.8389830508,7.7179487179,26.5210084034,2010_08,17.275,22.5730952381,24.7325,27.589523809525
0.0381355932,0.0254237288,0.0889830508,6.7192982456,11.7203389831,14.55,2010_09,0.0,21.891666666675,24.5101190476,28.022023809525
0.0041666667,0.0127659574,0.0334728033,9.7043478261,5.0344827586,14.35,2010_10,0.0,22.8919642857,25.3375,28.862499999999997
0.0291666667,0.0344827586,0.0627615063,5.1465517241,3.2268907563,7.3865546218,2010_11,0.0,23.543749999999996,25.7193452381,28.940178571425
0.0543478261,0.085106383,0.0744680851,13.9043478261,14.1964285714,17.1764705882,2010_12,1.4249999999999998,25.3107142857,27.90535714285,30.5
0.0638297872,0.0609756098,0.0412371134,22.2,24.0090909091,34.3529411765,2011_01,39.025,24.532142857150003,27.35892857145,30.185714285725
0.1978021978,0.2111111111,0.0927835052,39.6666666667,34.8813559322,71.5338983051,2011_02,46.05,24.45,27.3357142857,30.221428571425
0.1632653061,0.0869565217,0.25,45.7090909091,27.7692307692,96.9327731092,2011_03,24.4,24.703571428575,27.72678571425,30.750000000024997
0.0416666667,0.1222222222,0.16,23.9203539823,14.5982905983,64.0084033613,2011_04,26.225,24.517857142875,27.758928571425,31.0
0.0210526316,0.0434782609,0.2525252525,10.7477477477,29.1391304348,29.6134453782,2011_05,117.45,23.54285714285,26.589285714275,29.6357142857
0.0105263158,0.0744680851,0.0404040404,24.7913043478,15.4406779661,28.1186440678,2011_06,94.35,22.842857142875,25.93214285715,29.021428571425
0.0,0.0319148936,0.0816326531,28.1495327103,17.8907563025,25.9743589744,2011_07,81.05,21.98214285715,25.116071428575,28.25
0.0206185567,0.0652173913,0.03125,22.201754386,11.5084745763,16.3474576271,2011_08,27.75,21.739285714275,25.1410714286,28.54285714285
0.0,0.0103092784,0.0101010101,22.7456140351,4.2352941176,12.8220338983,2011_09,23.25,21.55357142855,25.266071428575,28.978571428575
0.0319148936,0.0107526882,0.0101010101,14.0841121495,3.4,10.25,2011_10,7.5,22.34285714285,25.860714285724995,29.378571428575
0.0212765957,0.0215053763,0.0204081633,25.9137931034,10.7943925234,12.268907563,2011_11,10.45,24.5392857143,27.248214285725,29.957142857149996
0.0208333333,0.0,0.0,32.3931623932,6.9082568807,16.3445378151,2011_12,6.375,24.735714285675,27.45357142855,30.171428571425
0.0404040404,0.0222222222,0.0212765957,33.7345132743,17.0796460177,27.65,2012_01,9.95,24.675,27.558928571425,30.442857142849995
