"year","city","Neig","Month","OVTdi","OVTpi","date","Prec_0","Prec_1","Prec_2","Prec_3","T_Min_0","T_Min_1","T_Min_2","T_Min_3","T_Med_0","T_Med_1","T_Med_2","T_Med_3","T_Max_0","T_Max_1","T_Max_2","T_Max_3"
1,"CGR","Carlota","2009_12",41.4385964912,60.5263157895,"2009-12-15",113.5,91.3,76.6,14.9,17.69,19.43,19.48,18.54,20.784625,22.3162361111,22.2081666667,23.7471111111,25.15,24.76,27.63,29.13
1,"CGR","Carlota","2010_01",NA,NA,"2010-01-19",86.7,3.5,28.5,58.3,19.04,19.15,19.65,16.34,22.3545069444,20.7846597222,23.0688333333,19.8557291667,27.73,22.85,27.46,24.26
1,"CGR","Carlota","2010_02",17.2321428571,35.7142857143,"2010-02-09",35.4,30.8,74.4,86.7,18.03,15.66,18.5,19.04,20.5099236111,21.5180833333,22.0879403794,22.3545069444,22.6,26.02,23.79,27.73
1,"CGR","Carlota","2010_03",22.1621621622,29.7297297297,"2010-03-16",0,31.3,15.4,70.7,19.03,17.12,18.8,16.34,21.7521666667,23.9212777778,22.4494444444,19.8557291667,23.92,30.14,26.26,24.26
1,"CGR","Carlota","2010_04",16.8474576271,31.3559322034,"2010-04-13",0,34.3,4.9,22.8,11.29,12.73,18.03,19.03,16.9937916667,17.8195486111,22.7165694444,22.9207916667,24.82,24.53,27.36,28.94
1,"CGR","Carlota","2010_05",8.5729166667,13.5416666667,"2010-05-19",10.4,19.2,0,0,7.16,7.22,14.6,16.97,13.8423263889,12.3918333333,19.9220069444,21.826125,21.33,19.26,24.39,28.57
1,"CGR","Carlota","2010_06",4.2833333333,11.6666666667,"2010-06-15",1.4,0,17.6,19,10.16,7.49,8.1,9.69,16.4909166667,13.6637083333,13.1601736111,15.1970833333,23.94,20.46,19.87,19.43
1,"CGR","Carlota","2010_07",6.1379310345,15.5172413793,"2010-07-13",0,0,0,0,4.01,14.22,11.82,14.08,8.3825152778,20.6605902778,18.9426736111,21.4920902778,13.12,28.74,26.73,29.07
1,"CGR","Carlota","2010_08",4.0172413793,12.0689655172,"2010-08-10",0,0,0,9.7,5,8.7,11.42,7.89,10.7849354167,11.69825,19.0854722222,8.9389583333,19.33,15.52,24.85,10.84
1,"CGR","Carlota","2010_09",20.1680672269,31.0924369748,"2010-09-21",20.1,0,0,0,16.49,13.91,11.56,17.29,23.6859236111,19.3714652778,17.4412152778,26.6401944444,32.55,29.1,25.43,33.99
1,"CGR","Carlota","2010_10",8.6434782609,24.347826087,"2010-10-26",10.1,0.2,63.4,129.5,11.81,13.83,13.23,13.3,21.1364375,19.7411527778,18.0058402778,17.957125,26.86,24.87,24.32,21.85
1,"CGR","Carlota","2010_11",26.796460177,44.2477876106,"2010-11-17",2.1,11.1,42.1,10.1,13.8,14.64,14.18,11.81,18.4991736111,19.7472847222,18.6378541667,21.1364375,24.33,23.45,20.06,26.86
1,"CGR","Guanandi","2009_12",24.3813559322,35.593220339,"2009-12-15",113.5,91.3,76.6,14.9,17.69,19.43,19.48,18.54,20.784625,22.3162361111,22.2081666667,23.7471111111,25.15,24.76,27.63,29.13
1,"CGR","Guanandi","2010_01",NA,NA,"2010-01-19",86.7,3.5,28.5,58.3,19.04,19.15,19.65,16.34,22.3545069444,20.7846597222,23.0688333333,19.8557291667,27.73,22.85,27.46,24.26
1,"CGR","Guanandi","2010_02",26.3162393162,41.0256410256,"2010-02-09",35.4,30.8,74.4,86.7,18.03,15.66,18.5,19.04,20.5099236111,21.5180833333,22.0879403794,22.3545069444,22.6,26.02,23.79,27.73
1,"CGR","Guanandi","2010_03",17.1083333333,23.3333333333,"2010-03-16",0,31.3,15.4,70.7,19.03,17.12,18.8,16.34,21.7521666667,23.9212777778,22.4494444444,19.8557291667,23.92,30.14,26.26,24.26
1,"CGR","Guanandi","2010_04",19.7631578947,31.5789473684,"2010-04-13",0,34.3,4.9,22.8,11.29,12.73,18.03,19.03,16.9937916667,17.8195486111,22.7165694444,22.9207916667,24.82,24.53,27.36,28.94
1,"CGR","Guanandi","2010_05",7.6355932203,13.5593220339,"2010-05-19",10.4,19.2,0,0,7.16,7.22,14.6,16.97,13.8423263889,12.3918333333,19.9220069444,21.826125,21.33,19.26,24.39,28.57
1,"CGR","Guanandi","2010_06",5.2393162393,17.094017094,"2010-06-15",1.4,0,17.6,19,10.16,7.49,8.1,9.69,16.4909166667,13.6637083333,13.1601736111,15.1970833333,23.94,20.46,19.87,19.43
1,"CGR","Guanandi","2010_07",6.3025210084,15.9663865546,"2010-07-13",0,0,0,0,4.01,14.22,11.82,14.08,8.3825152778,20.6605902778,18.9426736111,21.4920902778,13.12,28.74,26.73,29.07
1,"CGR","Guanandi","2010_08",1.1949152542,1.6949152542,"2010-08-10",0,0,0,9.7,5,8.7,11.42,7.89,10.7849354167,11.69825,19.0854722222,8.9389583333,19.33,15.52,24.85,10.84
1,"CGR","Guanandi","2010_09",3.9152542373,9.3220338983,"2010-09-21",20.1,0,0,0,16.49,13.91,11.56,17.29,23.6859236111,19.3714652778,17.4412152778,26.6401944444,32.55,29.1,25.43,33.99
1,"CGR","Guanandi","2010_10",9.25,21.5517241379,"2010-10-26",10.1,0.2,63.4,129.5,11.81,13.83,13.23,13.3,21.1364375,19.7411527778,18.0058402778,17.957125,26.86,24.87,24.32,21.85
1,"CGR","Guanandi","2010_11",41.6016949153,52.5423728814,"2010-11-17",2.1,11.1,42.1,10.1,13.8,14.64,14.18,11.81,18.4991736111,19.7472847222,18.6378541667,21.1364375,24.33,23.45,20.06,26.86
1,"CGR","Planalto","2009_12",28.5172413793,49.1379310345,"2009-12-15",113.5,91.3,76.6,14.9,17.69,19.43,19.48,18.54,20.784625,22.3162361111,22.2081666667,23.7471111111,25.15,24.76,27.63,29.13
1,"CGR","Planalto","2010_01",24.2076923077,51.5384615385,"2010-01-19",86.7,3.5,28.5,58.3,19.04,19.15,19.65,16.34,22.3545069444,20.7846597222,23.0688333333,19.8557291667,27.73,22.85,27.46,24.26
