ADT_Carlota,ADT_Guanandi,ADT_Planalto,OVT_Carlota,OVT_Guanandi,OVT_Planalto,month,mean_prec,mean_t_min,mean_t_med,mean_t_max
8.3969465649,4.2553191489,10.7296137339,60.5263157895,35.593220339,49.1379310345,2009_12,74.07499999999999,18.785000000000004,22.264034722225,26.667499999999997
4.9504950495,8.3798882682,6.8085106383,,,51.5384615385,2010_01,44.25,18.544999999999998,21.515932291650003,25.575
2.8571428571,3.8759689922,7.6271186441,35.7142857143,41.0256410256,52.5423728814,2010_02,56.825,17.807499999999997,21.61761356705,25.035
2.6905829596,4.3795620438,4.6025104603,29.7297297297,23.3333333333,47.4576271186,2010_03,29.35,17.8225,21.994654513900002,26.145000000000003
1.2820512821,7.5862068966,3.3613445378,31.3559322034,31.5789473684,36.1111111111,2010_04,15.5,15.27,20.112675347225,26.4125
2.9411764706,2.1097046414,0.8403361345,13.5416666667,13.5593220339,9.4827586207,2010_05,7.4,11.487499999999999,16.99557291665,23.387500000000003
1.25,2.1645021645,2.1186440678,11.6666666667,17.094017094,15.1260504202,2010_06,9.5,8.86,14.6279704861,20.925000000000004
0.0,0.8547008547,0.8403361345,15.5172413793,15.9663865546,22.8813559322,2010_07,0.0,11.0325,17.369467361125,24.415
0.4166666667,0.0,0.0,12.0689655172,1.6949152542,9.7345132743,2010_08,2.425,8.2525,12.62690399305,17.634999999999998
2.0920502092,1.3452914798,0.8438818565,31.0924369748,9.3220338983,21.186440678,2010_09,5.025,14.8125,21.784699652775,30.2675
3.3613445378,1.6806722689,6.3025210084,24.347826087,21.5517241379,36.2068965517,2010_10,50.8,13.0425,19.2101388889,24.475
3.7656903766,3.75,5.0420168067,44.2477876106,52.5423728814,59.8290598291,2010_11,16.349999999999998,13.607500000000002,19.505187499999998,23.675
2.6666666667,7.3684210526,10.2272727273,43.3333333333,56.0344827586,61.5384615385,2010_12,13.8,16.9475,21.220934027775,25.515000000000004
,10.3092783505,8.5714285714,42.8571428571,,53.781512605,2011_01,25.35,16.9475,21.220934027775,25.515000000000004
6.4935064935,3.75,13.5416666667,34.4537815126,53.78151,58.16327,2011_02,101.66666666666667,19.1,21.800505208325,26.625
6.1224489796,4.1237113402,8.0,27.9661016949,54.2372881356,51.6666666667,2011_03,126.73333333333333,18.680000000000003,20.9493454861,24.4875
1.0309278351,6.1855670103,9.1836734694,38.3333333333,49.5798319328,44.1666666667,2011_04,60.25,17.05,21.745991319450003,27.61
2.0833333333,5.0505050505,5.3191489362,21.186440678,22.8813559322,29.9145299145,2011_05,101.66666666666667,12.4375,17.081934027775002,23.195
0.0,1.0,2.2988505747,14.2857142857,10.0840336134,21.8487394958,2011_06,53.666666666666664,10.7925,16.664553819425,23.32
0.0,0.0,3.0612244898,16.6666666667,17.6470588235,17.7966101695,2011_07,0.0,8.1875,14.4416152778,21.810000000000002
1.0,3.8961038961,2.0202020202,20.8333333333,28.3333333333,26.2711864407,2011_08,4.65,10.0925,14.534130902749999,20.7975
0.0,2.0833333333,1.0,15.2542372881,19.1304347826,16.9491525424,2011_09,12.85,13.33,19.573223958325002,26.685
1.0,3.2967032967,6.25,36.4406779661,51.6666666667,40.8333333333,2011_10,47.199999999999996,15.792499999999999,21.381890624999997,26.7125
2.0,5.3191489362,3.0927835052,39.8305084746,49.1525423729,60.0,2011_11,40.8,15.219999999999999,20.706642361125,26.619999999999997
0.0,5.2083333333,5.2631578947,47.0588235294,39.1666666667,57.9831932773,2011_12,42.95,16.385,22.0278420139,28.45
4.0,7.1428571429,2.4390243902,48.7394957983,45.8333333333,40.8333333333,2012_01,37.849999999999994,17.82,22.168753472200002,27.0325
