ADT_Bilac,ADT_Primavera,ADT_Saracuruna,OVT_Bilac,OVT_Primavera,OVT_Saracuruna,month,mean_prec,mean_t_min,mean_t_med,mean_t_max
5.8577405858,4.6025104603,2.6785714286,64.7058823529,47.7876106195,57.1428571429,2009_11,45.125,21.7351190476,23.6785714286,26.072023809500003
4.0178571429,6.6945606695,4.2372881356,68.6956521739,69.298245614,55.9701492537,2009_12,48.77499999999999,22.727678571425,24.984821428575003,27.65625
10.0,13.9240506329,6.6945606695,77.1929824561,88.3928571429,64.8148148148,2010_01,21.75,23.648809523825,26.288095238074998,29.3398809524
13.5021097046,13.612565445,5.0209205021,82.0512820513,75.8620689655,70.796460177,2010_02,55.875,23.476190476199996,26.80238095235,30.737499999999997
4.5833333333,8.3333333333,4.6218487395,69.0265486726,68.3760683761,77.380952381,2010_03,53.599999999999994,23.432142857125,26.23875,29.238035714275
11.25,14.2222222222,8.4745762712,72.7272727273,85.4700854701,69.0265486726,2010_04,42.675,22.51726190475,24.49285714285,27.11964285715
13.8075313808,16.3865546218,11.6883116883,77.9661016949,83.7837837838,73.6842105263,2010_05,2.4499999999999997,21.700833333325,23.830833333324996,26.835416666675
10.0,10.582010582,8.8541666667,47.8632478632,49.5652173913,32.4561403509,2010_06,8.65,19.74345238095,21.522023809500002,24.101785714275
6.25,6.6666666667,4.4444444444,54.2372881356,68.1415929204,46.7289719626,2010_07,0.0,18.91714285715,21.30785714285,24.774285714275
3.75,5.2863436123,2.5316455696,39.4957983193,33.9130434783,20.5357142857,2010_08,0.0,18.716190476199998,21.05535714285,24.432738095250002
3.75,2.4509803922,2.6595744681,36.6666666667,32.2033898305,27.8260869565,2010_09,1.05,19.0333333333,22.14702380955,26.232142857124998
3.75,3.0701754386,1.3157894737,35.0427350427,33.6283185841,22.9357798165,2010_10,37.525,19.09166666665,21.942261904749998,25.781547619024998
