ADT_CabuÃƒÂ§u,ADT_Ceramica,ADT_Moqueta,OVT_CabuÃƒÂ§u,OVT_Ceramica,OVT_Moqueta,month,mean_prec,mean_t_min,mean_t_med,mean_t_max
15.7894736842,27.1739130435,28.5714285714,,67.2727272727,63.025210084,2011_07,2.9,15.853571428575,20.887499999975,25.921428571425004
14.2857142857,18.2795698925,29.5918367347,,70.8333333333,65.5462184874,2011_08,4.175000000000001,17.128571428599997,22.3482142857,27.56785714285
8.1632653061,13.4831460674,22.6804123711,,47.4576271186,45.3781512605,2011_09,5.475,17.639285714275,22.49821428575,27.35714285715
9.0,10.0,23.2323232323,,55.9322033898,57.6271186441,2011_10,9.075,18.321428571425,23.076785714274997,27.83214285715
11.0,25.0,28.0,,78.0701754386,68.0672268908,2011_11,2.675,18.760714285725,23.414285714275003,28.067857142875
19.1919191919,14.2857142857,34.0,,71.4285714286,77.3109243697,2011_12,20.424999999999997,21.203571428575,24.751785714275,28.299999999999997
23.75,19.3548387097,28.2828282828,,80.8695652174,89.1666666667,2012_01,71.675,22.0392857143,26.50535714285,30.971428571425
18.0,9.0909090909,20.202020202,,59.1304347826,62.7118644068,2012_02,16.775,22.710714285725,27.998214285725002,33.285714285699996
12.6315789474,8.3333333333,19.1919191919,,74.5614035088,36.974789916,2012_03,35.025,22.98214285715,28.14107142855,33.3
16.0,10.0,19.1919191919,,79.8319327731,61.6666666667,2012_04,19.275,22.442857142875,26.90357142855,31.3642857143
22.0,17.1717171717,27.2727272727,,67.5,52.9411764706,2012_05,24.700000000000003,20.08214285715,24.1267857143,28.171428571425
5.1020408163,12.0879120879,17.3469387755,,37.2881355932,64.7058823529,2012_06,16.525,19.389285714275,23.135714285724998,26.882142857174998
