ADT_Areia,ADT_Emaus,ADT_Liberdade,OVT_Areia,OVT_Emaus,OVT_Liberdade,month,mean_prec,mean_t_min,mean_t_med,mean_t_max
3.4188034188,1.2658227848,3.9024390244,15.0442477876,13.9130434783,5.1948051948,2009_12,0.0,23.51279761905,25.678571428574998,28.719940476175
1.2875536481,0.0,0.0,31.3043478261,27.3504273504,29.1666666667,2010_01,21.150000000000002,24.186309523825,26.06726190475,28.677976190475
1.7021276596,4.2194092827,0.8333333333,40.6779661017,34.4537815126,54.7008547009,2010_02,20.675,24.2476190476,26.334523809525,29.205952380950002
0.4166666667,4.2016806723,2.1459227468,50.4273504274,17.6470588235,42.735042735,2010_03,14.725,25.206190476175,27.26273809525,30.158214285725
2.0833333333,1.7167381974,2.9661016949,40.0,12.5,39.1666666667,2010_04,20.775,25.283928571425,27.10476190475,29.754166666675
2.1008403361,1.7857142857,2.5751072961,50.0,39.8230088496,66.9491525424,2010_05,38.125,24.82125,26.908749999999998,29.731250000000003
0.8474576271,2.0833333333,0.4184100418,47.0588235294,33.0508474576,52.1008403361,2010_06,5.15,24.50595238095,26.778571428575,29.852976190474998
2.1008403361,2.9166666667,2.0833333333,24.3697478992,17.2413793103,33.8983050847,2010_07,14.725,23.051428571425,25.347857142849996,28.252857142875
1.7316017316,3.0172413793,4.6610169492,37.2881355932,24.7863247863,43.6974789916,2010_08,17.275,22.5730952381,24.732499999999998,27.589523809524998
2.9661016949,1.6949152542,6.3559322034,27.1929824561,16.9491525424,32.5,2010_09,0.0,21.891666666675,24.5101190476,28.022023809525
0.4166666667,1.2765957447,3.3472803347,26.9565217391,14.6551724138,31.6666666667,2010_10,0.0,22.8919642857,25.337500000000002,28.862499999999997
2.5,3.4482758621,5.8577405858,18.9655172414,10.9243697479,29.4117647059,2010_11,0.0,23.543749999999996,25.7193452381,28.940178571424998
2.1739130435,7.4468085106,5.3191489362,25.2173913043,33.0357142857,44.5378151261,2010_12,1.4249999999999998,25.3107142857,27.90535714285,30.5
6.3829787234,6.0975609756,4.1237113402,44.5454545455,40.9090909091,57.9831932773,2011_01,39.025,24.532142857150003,27.35892857145,30.185714285725002
14.2857142857,12.2222222222,9.2783505155,44.1441441441,58.4745762712,70.3389830508,2011_02,46.05,24.45,27.3357142857,30.221428571424998
12.2448979592,7.6086956522,13.0,72.7272727273,51.2820512821,75.6302521008,2011_03,24.4,24.703571428575,27.72678571425,30.750000000024997
2.0833333333,8.8888888889,11.0,53.0973451327,43.5897435897,74.7899159664,2011_04,26.224999999999998,24.517857142875002,27.758928571425002,31.0
2.1052631579,4.347826087,12.1212121212,29.7297297297,60.0,53.781512605,2011_05,117.44999999999999,23.54285714285,26.589285714275,29.6357142857
1.0526315789,6.3829787234,2.0202020202,47.8260869565,35.593220339,54.2372881356,2011_06,94.35,22.842857142875,25.932142857149998,29.021428571424998
0.0,3.1914893617,7.1428571429,43.9252336449,44.5378151261,47.0085470085,2011_07,81.05,21.982142857150002,25.116071428574998,28.25
1.0309278351,5.4347826087,3.125,29.8245614035,27.1186440678,40.6779661017,2011_08,27.75,21.739285714275,25.1410714286,28.54285714285
0.0,1.0309278351,1.0101010101,32.4561403509,23.5294117647,27.9661016949,2011_09,23.25,21.55357142855,25.266071428575,28.978571428575
1.0638297872,1.0752688172,1.0101010101,28.9719626168,17.3913043478,25.0,2011_10,7.5,22.34285714285,25.860714285724995,29.378571428575
1.0638297872,2.1505376344,2.0408163265,34.4827586207,20.5607476636,32.7731092437,2011_11,10.45,24.5392857143,27.248214285725,29.957142857149996
2.0833333333,0.0,0.0,52.9914529915,20.1834862385,34.4537815126,2011_12,6.375,24.735714285675,27.45357142855,30.171428571425
4.0404040404,2.2222222222,2.1276595745,51.3274336283,36.2831858407,50.8333333333,2012_01,9.95,24.675,27.558928571425,30.442857142849995
