ADT_Jd_Santarem,ADT_Republica,ADT_Santarenzinho,OVT_Jd_Santarem,OVT_Republica,OVT_Santarenzinho,month,mean_prec,mean_t_min,mean_t_med,mean_t_max
10.8225108225,7.5949367089,11.3924050633,77.7777777778,68.0672268908,82.2033898305,2010_03,62.95,23.858571428575,26.208571428575,28.7507142857
0.0,4.2553191489,10.1694915254,53.9130434783,47.8632478632,62.6086956522,2010_04,109.0,23.9148809524,26.065476190475003,28.4625
3.75,2.510460251,6.2761506276,59.0476190476,46.6101694915,55.8333333333,2010_05,112.3,23.992678571425,25.74660714285,27.9631547619
0.8333333333,1.2605042017,4.5833333333,52.9914529915,45.3781512605,44.5378151261,2010_06,54.349999999999994,23.724404761925,25.721428571425,27.824404761925
2.0833333333,5.4166666667,5.0,66.3793103448,63.3928571429,52.5423728814,2010_07,26.025,23.260714285725,25.860714285725003,28.328571428575
3.75,2.0833333333,1.25,79.6610169492,63.7931034483,57.264957265,2010_08,37.1,23.678214285725,26.287142857150002,28.983333333350004
0.8368200837,0.8547008547,2.5210084034,55.7692307692,53.9130434783,42.8571428571,2010_09,1.95,24.948214285725,28.4619047619,31.498214285725
0.0,1.6736401674,3.3613445378,29.4117647059,22.8813559322,41.5254237288,2010_10,1.425,25.64702380955,29.500595238124998,33.0398809524
0.8333333333,5.1063829787,2.0833333333,41.1764705882,53.3333333333,38.3333333333,2010_11,26.65,25.535416666675,29.2773809524,32.63125
2.3364485981,3.8626609442,2.0833333333,72.5,66.2921348315,62.9310344828,2010_12,43.0,24.7488095238,28.155952380975,31.70476190475
3.781512605,7.1129707113,7.9166666667,73.9495798319,78.813559322,52.1008403361,2011_01,51.5,23.950595238074996,26.53273809525,29.368571428550002
2.1097046414,4.6218487395,5.0,58.3333333333,58.9743589744,36.7521367521,2011_02,111.94999999999999,23.407142857175,25.367857142875003,27.676190476174998
5.0,8.0,8.0808080808,56.6666666667,32.7586206897,57.5,2011_03,65.0,22.04285714285,25.958809523824996,29.915
2.5,2.4691358025,2.1505376344,47.0588235294,56.0344827586,21.8487394958,2011_04,125.42500000000001,21.921428571425,25.794642857150002,29.66785714285
0.0,3.0927835052,0.0,37.5,46.218487395,30.8333333333,2011_05,82.575,22.021428571450002,25.937499999975,29.85357142855
0.0,1.0101010101,1.0101010101,22.6890756303,36.974789916,15.1260504202,2011_06,18.849999999999998,22.185714285725002,26.474999999975,30.764285714299998
1.0,0.0,1.0309278351,15.0,41.1764705882,13.4453781513,2011_07,27.7,22.174999999999997,26.375000000000004,30.575
0.0,0.0,1.0,21.6666666667,26.8907563025,28.5714285714,2011_08,19.575000000000003,22.16785714285,26.8482142857,31.528571428550002
0.0,1.0101010101,1.0101010101,25.8333333333,50.4201680672,35.8974358974,2011_09,7.65,22.52857142855,27.337500000025003,32.14642857145
0.0,0.0,0.0,25.0,48.3050847458,36.6666666667,2011_10,7.6,22.721428571425,27.712500000000002,32.703571428575
0.0,0.0,0.0,41.1764705882,49.1525423729,51.2605042017,2011_11,32.95,22.37857142855,27.098214285725003,31.817857142850002
0.0,0.0,0.0,37.8151260504,35.0,19.1666666667,2011_12,0.275,22.635714285725,27.49285714285,32.35
0.0,2.0202020202,0.0,44.5378151261,35.8333333333,23.3333333333,2012_01,31.075,22.528571428575,26.9892857143,31.45
0.0,0.0,0.0,60.0,50.8474576271,50.8333333333,2012_02,49.8,22.0642857143,25.812499999999996,29.560714285725
